   ii      jj      C      sig
  0     0     -0.101533     0.001701      14
  0     1     0.005929     0.000160      14
  0     2     0.002148     0.000296      14
  0     3     -0.000253     0.000148      14
  0     4     -0.000258     0.000153      14
  0     5     0.000819     0.000253      14
  1     0     0.014113     0.000076      14
  1     1     0.003769     0.000070      14
  1     2     0.001251     0.000074      14
  1     3     0.000408     0.000053      14
  1     4     0.000274     0.000050      14
  1     5     0.000270     0.000055      14
  2     0     0.002048     0.000064      14
  2     1     0.001310     0.000049      14
  2     2     0.000794     0.000054      14
  2     3     0.000356     0.000076      14
  2     4     0.000263     0.000069      14
  2     5     0.000161     0.000054      14
  3     0     0.000836     0.000054      14
  3     1     0.000706     0.000061      14
  3     2     0.000420     0.000056      14
  3     3     0.000298     0.000041      14
  3     4     0.000235     0.000069      14
  3     5     0.000237     0.000045      14
  4     0     0.000333     0.000055      14
  4     1     0.000039     0.000093      14
  4     2     0.000193     0.000083      14
  4     3     0.000234     0.000063      14
  4     4     0.000218     0.000071      14
  4     5     0.000038     0.000057      14
  5     0     0.000292     0.000079      14
  5     1     0.000316     0.000065      14
  5     2     0.000338     0.000086      14
  5     3     0.000108     0.000069      14
  5     4     0.000023     0.000053      14
  5     5     0.000121     0.000055      14
Slope = -1.166
C10 = 0.0059288
C01 = 0.014113
