   ii      jj      C      sig
  0     0     -0.0898470213118637     0.0019167591151542      56
  0     1     0.0046905337034783     0.0001239760776354      56
  0     2     0.0014376291630083     0.0002527936893865      56
  0     3     0.0000207109065184     0.0001015546924436      56
  0     4     -0.0002102908067947     0.0001024679353783      56
  0     5     0.0002342748782227     0.0001306778935093      56
  1     0     0.0130130445215355     0.0000987275949141      56
  1     1     0.0032396256288892     0.0000746826783540      56
  1     2     0.0010074794724996     0.0000710317739962      56
  1     3     0.0004074665562421     0.0000563981383891      56
  1     4     0.0002881991787954     0.0000570521867959      56
  1     5     0.0001811870724303     0.0000565961299349      56
  2     0     0.0019327285423287     0.0000628219263261      56
  2     1     0.0011634902288823     0.0000577973988984      56
  2     2     0.0007082294904723     0.0000587885605367      56
  2     3     0.0004972397049526     0.0000800599689574      56
  2     4     0.0003479198218275     0.0000704874337848      56
  2     5     0.0003237346672739     0.0000734832735793      56
  3     0     0.0008467647245734     0.0000652403231021      56
  3     1     0.0007141146789001     0.0000601623928448      56
  3     2     0.0005776440887234     0.0000550023053200      56
  3     3     0.0003893813242878     0.0000670056002410      56
  3     4     0.0004315040041389     0.0000533898123313      56
  3     5     0.0003244538252685     0.0000516746681858      56
  4     0     0.0002055742336032     0.0000489830621498      56
  4     1     0.0003624472916123     0.0000531168491246      56
  4     2     0.0002378046323893     0.0000437899600771      56
  4     3     0.0001263756805100     0.0000468309108563      56
  4     4     0.0001387090771354     0.0000539272914674      56
  4     5     0.0001036186432669     0.0000588804038556      56
  5     0     -0.0000338024707111     0.0000714626363185      56
  5     1     0.0000598692036653     0.0000783587079954      56
  5     2     -0.0000682179777724     0.0000681790375195      56
  5     3     -0.0000299769950181     0.0000627177843818      56
  5     4     -0.0000586789798643     0.0000698233080134      56
  5     5     -0.0000804486894237     0.0000711553303776      56
Slope = -1.214
C10 = 0.0046905
C01 = 0.013013
